time,y,x,t1p5m_gb,snowfall,snow_grnd_gb,snow_depth_gb,resp_s_gb,precip,smc_tot,snow_can_gb,sw_down,time_value,run_ini,run_end,time_delta,date,year,doy_f,doy,dap_f,dap,das_f,das
1,1,1,293.93478,0.0,0.0,0.0,6.261146e-08,0.0,1004.815,0.0,102.65493,86400.0,2016-03-01 06:00:00,2016-10-30 06:00:00,1 days,2016-03-02 06:00:00,2016,61.25,62,-66.75,-65,1.0,1
2,1,1,296.3765,0.0,0.0,0.0,1.3282018e-07,0.0,1023.8338,0.0,167.38847,172800.0,2016-03-01 06:00:00,2016-10-30 06:00:00,2 days,2016-03-03 06:00:00,2016,62.25,63,-65.75,-64,2.0,2
3,1,1,295.74966,0.0,0.0,0.0,1.3045467e-07,0.0,1032.1475,0.0,103.06506,259200.0,2016-03-01 06:00:00,2016-10-30 06:00:00,3 days,2016-03-04 06:00:00,2016,63.25,64,-64.75,-63,3.0,3
4,1,1,297.202,0.0,0.0,0.0,1.617273e-07,0.0,1038.2697,0.0,214.64972,345600.0,2016-03-01 06:00:00,2016-10-30 06:00:00,4 days,2016-03-05 06:00:00,2016,64.25,65,-63.75,-62,4.0,4
5,1,1,298.61887,0.0,0.0,0.0,1.7585778e-07,0.0,1043.4136,0.0,233.18694,432000.0,2016-03-01 06:00:00,2016-10-30 06:00:00,5 days,2016-03-06 06:00:00,2016,65.25,66,-62.75,-61,5.0,5
6,1,1,297.62973,0.0,0.0,0.0,1.780898e-07,0.0,1048.3531,0.0,201.61017,518400.0,2016-03-01 06:00:00,2016-10-30 06:00:00,6 days,2016-03-07 06:00:00,2016,66.25,67,-61.75,-60,6.0,6
7,1,1,298.58517,0.0,0.0,0.0,2.0659466e-07,0.0,1052.3638,0.0,247.5542,604800.0,2016-03-01 06:00:00,2016-10-30 06:00:00,7 days,2016-03-08 06:00:00,2016,67.25,68,-60.75,-59,7.0,7
8,1,1,298.30774,0.0,0.0,0.0,2.0579347e-07,0.0,1056.152,0.0,219.26299,691200.0,2016-03-01 06:00:00,2016-10-30 06:00:00,8 days,2016-03-09 06:00:00,2016,68.25,69,-59.75,-58,8.0,8
9,1,1,300.0651,0.0,0.0,0.0,2.1892964e-07,0.0,1059.5969,0.0,244.12425,777600.0,2016-03-01 06:00:00,2016-10-30 06:00:00,9 days,2016-03-10 06:00:00,2016,69.25,70,-58.75,-57,9.0,9
10,1,1,297.32782,0.0,0.0,0.0,1.8860457e-07,0.0,1063.4825,0.0,182.0,864000.0,2016-03-01 06:00:00,2016-10-30 06:00:00,10 days,2016-03-11 06:00:00,2016,70.25,71,-57.75,-56,10.0,10
11,1,1,298.72446,0.0,0.0,0.0,1.8932711e-07,0.0,1066.8304,0.0,176.83128,950400.0,2016-03-01 06:00:00,2016-10-30 06:00:00,11 days,2016-03-12 06:00:00,2016,71.25,72,-56.75,-55,11.0,11
12,1,1,298.2231,0.0,0.0,0.0,2.1224231e-07,0.0,1069.2468,0.0,304.2014,1036800.0,2016-03-01 06:00:00,2016-10-30 06:00:00,12 days,2016-03-13 06:00:00,2016,72.25,73,-55.75,-54,12.0,12
13,1,1,296.71634,0.0,0.0,0.0,1.7506004e-07,1.47e-05,1073.3309,0.0,207.24646,1123200.0,2016-03-01 06:00:00,2016-10-30 06:00:00,13 days,2016-03-14 06:00:00,2016,73.25,74,-54.75,-53,13.0,13
14,1,1,297.43564,0.0,0.0,0.0,1.9308375e-07,0.0,1076.0021,0.0,206.70091,1209600.0,2016-03-01 06:00:00,2016-10-30 06:00:00,14 days,2016-03-15 06:00:00,2016,74.25,75,-53.75,-52,14.0,14
15,1,1,297.7849,0.0,0.0,0.0,1.9744733e-07,0.0,1078.9325,0.0,211.21165,1296000.0,2016-03-01 06:00:00,2016-10-30 06:00:00,15 days,2016-03-16 06:00:00,2016,75.25,76,-52.75,-51,15.0,15
16,1,1,297.2804,0.0,0.0,0.0,1.855379e-07,0.0,1082.0115,0.0,178.4508,1382400.0,2016-03-01 06:00:00,2016-10-30 06:00:00,16 days,2016-03-17 06:00:00,2016,76.25,77,-51.75,-50,16.0,16
17,1,1,296.91806,0.0,0.0,0.0,2.011236e-07,0.0,1084.6514,0.0,220.60362,1468800.0,2016-03-01 06:00:00,2016-10-30 06:00:00,17 days,2016-03-18 06:00:00,2016,77.25,78,-50.75,-49,17.0,17
18,1,1,297.64447,0.0,0.0,0.0,2.2128431e-07,0.0,1087.106,0.0,259.97684,1555200.0,2016-03-01 06:00:00,2016-10-30 06:00:00,18 days,2016-03-19 06:00:00,2016,78.25,79,-49.75,-48,18.0,18
19,1,1,299.4956,0.0,0.0,0.0,2.363481e-07,0.0,1089.1483,0.0,300.19238,1641600.0,2016-03-01 06:00:00,2016-10-30 06:00:00,19 days,2016-03-20 06:00:00,2016,79.25,80,-48.75,-47,19.0,19
20,1,1,298.55905,0.0,0.0,0.0,2.2201353e-07,0.0,1091.3337,0.0,298.44162,1728000.0,2016-03-01 06:00:00,2016-10-30 06:00:00,20 days,2016-03-21 06:00:00,2016,80.25,81,-47.75,-46,20.0,20
21,1,1,300.6165,0.0,0.0,0.0,2.3284053e-07,0.0,1093.7714,0.0,259.92776,1814400.0,2016-03-01 06:00:00,2016-10-30 06:00:00,21 days,2016-03-22 06:00:00,2016,81.25,82,-46.75,-45,21.0,21
22,1,1,301.43686,0.0,0.0,0.0,2.2883073e-07,0.0,1096.097,0.0,250.28589,1900800.0,2016-03-01 06:00:00,2016-10-30 06:00:00,22 days,2016-03-23 06:00:00,2016,82.25,83,-45.75,-44,22.0,22
23,1,1,297.6418,0.0,0.0,0.0,2.0807414e-07,0.0,1099.1013,0.0,181.07404,1987200.0,2016-03-01 06:00:00,2016-10-30 06:00:00,23 days,2016-03-24 06:00:00,2016,83.25,84,-44.75,-43,23.0,23
24,1,1,297.3315,0.0,0.0,0.0,1.9490035e-07,0.0,1101.7635,0.0,152.23863,2073600.0,2016-03-01 06:00:00,2016-10-30 06:00:00,24 days,2016-03-25 06:00:00,2016,84.25,85,-43.75,-42,24.0,24
25,1,1,297.66122,0.0,0.0,0.0,1.9906302e-07,0.0,1104.2678,0.0,159.06233,2160000.0,2016-03-01 06:00:00,2016-10-30 06:00:00,25 days,2016-03-26 06:00:00,2016,85.25,86,-42.75,-41,25.0,25
26,1,1,296.75116,0.0,0.0,0.0,1.8389896e-07,1.764625e-05,1107.0038,0.0,148.04237,2246400.0,2016-03-01 06:00:00,2016-10-30 06:00:00,26 days,2016-03-27 06:00:00,2016,86.25,87,-41.75,-40,26.0,26
27,1,1,298.68683,0.0,0.0,0.0,1.8454604e-07,0.00014994001,1114.0206,0.0,160.8788,2332800.0,2016-03-01 06:00:00,2016-10-30 06:00:00,27 days,2016-03-28 06:00:00,2016,87.25,88,-40.75,-39,27.0,27
28,1,1,298.48337,0.0,0.0,0.0,2.0891918e-07,2.9374999e-06,1119.1033,0.0,200.04791,2419200.0,2016-03-01 06:00:00,2016-10-30 06:00:00,28 days,2016-03-29 06:00:00,2016,88.25,89,-39.75,-38,28.0,28
